buyer_id,sector_id,buyer_name,sector_name,is_externally_funded,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
41,3,Department of Water Resources,buildings,False,-0.10002493905227934,-0.10004994306356423,-0.07649788250756823,4.0,0.0,0.0,8.0,5.0,,0.0,13.0,0.0,0.0,0.0,0.0,13.0,,52402496.15,4.0,46990223.43,25.0,27.083333333333332,,35.526315789473685,,,,
41,4,Department of Water Resources,schools,False,,-0.09999999514296996,-0.09999999514296996,1.0,,0.0,1.0,3.0,,0.0,4.0,0.0,0.0,0.0,0.0,4.0,,74119369.0,1.0,74119369.0,,,,42.42424242424242,,,,
41,5,Department of Water Resources,health,False,,-0.08504423453363126,-0.05503271135351927,2.0,,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,401832619.05,2.0,401832619.05,,,,38.88888888888889,,,,
41,6,Department of Water Resources,water_sanitation,False,-0.09999999673621454,-0.10004995974218446,-0.09999996998796407,336.0,0.09966216216216216,59.0,592.0,172.0,0.006527415143603133,5.0,766.0,0.0,0.042440318302387266,0.006631299734748011,0.016357206012378427,754.0,0.15646550902793663,18337847817.04,172.0,2869240693.17,61.53846153846154,66.66666666666666,50.0,77.77777777777779,20.0,55.1965811965812,56.25356125356125,57.1082621082621
41,9,Department of Water Resources,vehicles,False,,,,,,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,47.22222222222222,,,,
43,3,Dibrugarh University,buildings,False,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,12930800.0,1.0,12930800.0,,,,,,,,
43,4,Dibrugarh University,schools,False,,-0.06873396768807263,-0.00620190306421806,2.0,0.0,0.0,11.0,10.0,,0.0,21.0,0.0,0.0,0.0,0.0,7.0,0.8042144375394408,43983112.4,6.0,35371854.0,,32.35294117647059,,42.42424242424242,88.88888888888889,54.555357496533965,,
44,3,Director- Fire and Emergency Services-Assam,buildings,False,-0.09506220367251408,-0.12000290350113155,-0.013894276769457856,14.0,0.0,0.0,17.0,0.0,,0.0,17.0,0.0,0.0,0.0,0.0,15.0,0.5203804439909896,266250837.44,10.0,138551729.0,45.0,27.083333333333332,,35.526315789473685,33.33333333333333,35.23574561403508,,
44,9,Director- Fire and Emergency Services-Assam,vehicles,False,,-0.15999025609749593,-0.15999025609749593,1.0,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,2834544.0,1.0,2834544.0,,,,47.22222222222222,,,,
44,10,Director- Fire and Emergency Services-Assam,other,False,,-0.12360728108843169,-0.0908165011035513,2.0,0.0,0.0,7.0,0.0,,0.0,7.0,0.0,0.0,0.0,0.0,7.0,,74049170.0,2.0,74049170.0,,17.105263157894736,,27.142857142857142,,,,
