buyer_id,sector_id,buyer_name,sector_name,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
24,3,BODOLAND UNIVERSITY,buildings,-0.00045471326477260064,-0.0006212854139303638,-0.0002240384153179552,5.0,0.0,0.0,5.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.8974403622971227,85636681.22,5.0,76853814.22,75.0,26.0,46.73913043478261,36.25,57.14285714285714,48.22639751552795,52.688664596273284,44.52199792960661
24,4,BODOLAND UNIVERSITY,schools,,-0.00019409975655554202,-0.00012100627395283092,2.0,,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,29669502.75,2.0,29669502.75,,,45.714285714285715,42.42424242424242,73.21428571428571,53.78427128427128,,
25,1,Bodoland Territorial Council,roads,-0.0002627791936411909,-0.005631404896218914,-2.778538160479151e-05,200.0,0.023166023166023165,6.0,259.0,54.0,0.0,0.0,313.0,0.019543973941368076,0.10423452768729642,0.0,0.04125950054288816,307.0,0.16932419407849372,1647391407.46,130.0,278943222.4,81.25,40.0,46.875,93.33333333333333,12.5,54.791666666666664,59.20138888888889,52.32638888888889
25,2,Bodoland Territorial Council,bridges,,-0.0033333333333333335,-0.0033333333333333335,1.0,0.0,0.0,6.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,1.0,2990000.0,1.0,2990000.0,,33.33333333333333,53.84615384615385,45.45454545454545,66.66666666666666,49.82517482517482,,
25,3,Bodoland Territorial Council,buildings,-0.00014254216621527473,-0.008593253347082837,-7.501801898051008e-05,34.0,0.018518518518518517,1.0,54.0,5.0,0.0,0.0,59.0,0.0,0.01818181818181818,0.0,0.006060606060606061,55.0,0.2287109507495277,234349450.10000002,32.0,53598285.54000001,85.0,56.00000000000001,46.73913043478261,76.25,3.571428571428571,53.512111801242234,58.76009316770186,53.92675983436853
25,4,Bodoland Territorial Council,schools,-9.690855338883073e-05,-0.00014611832260256482,-2.7351999999955295e-05,8.0,0.043478260869565216,1.0,23.0,5.0,0.0,0.0,28.0,0.037037037037037035,0.037037037037037035,0.0,0.024691358024691357,27.0,0.6314290584546712,79166305.78,8.0,49987905.92,90.9090909090909,76.47058823529412,45.714285714285715,90.9090909090909,25.0,65.80061115355234,69.98535777947544,67.57894066717596
25,5,Bodoland Territorial Council,health,-3.408936145373494e-05,-8.700535041209514e-05,-2.9079352183613292e-06,7.0,0.0,0.0,16.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,14.0,0.7629677720181607,224624871.82999998,8.0,171381538.0,80.0,28.57142857142857,46.15384615384615,38.88888888888889,40.0,46.72283272283272,52.26902726902726,43.69759869759869
25,6,Bodoland Territorial Council,water_sanitation,-0.10000000000000005,-0.5499999999999999,-0.09999999999999996,211.0,0.1783783783783784,33.0,185.0,5.0,0.0,0.0,190.0,0.0,0.02631578947368421,0.0,0.008771929824561403,190.0,0.1159106555318366,1649517421.6100001,149.0,191196645.65,23.076923076923077,86.66666666666667,44.11764705882353,75.86206896551724,4.3478260869565215,46.81422637097741,42.85800915530169,53.456299753592276
25,7,Bodoland Territorial Council,electricity_power,,,,,,0.0,4.0,9.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,11.0,,,,,,,44.827586206896555,38.095238095238095,,41.46141215106732,,
25,9,Bodoland Territorial Council,vehicles,0.0,-0.00043497172683775554,0.009989094874591058,5.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.16666666666666666,0.0,0.0,0.05555555555555555,6.0,1.0,26634280.0,3.0,26634280.0,50.0,35.714285714285715,48.275862068965516,92.10526315789474,65.38461538461539,58.29600526515228,56.91333772096022,54.53238534000784
25,10,Bodoland Territorial Council,other,-0.0001516833810824753,-0.023980648795086892,-1.2576307778765259e-05,164.0,0.01729106628242075,6.0,347.0,74.0,0.0,0.0,421.0,0.009950248756218905,0.03731343283582089,0.0,0.01575456053067993,402.0,0.12013328733875347,1487495762.57,137.0,178697755.86,90.0,36.58536585365854,39.81481481481482,72.22222222222221,2.3255813953488373,48.18959685720888,55.15799738100739,46.25555835661716
26,1,Bodoland Territorial Council-PWD,roads,-8.273463842985362e-05,-0.00027287975118685216,-7.364677506882843e-06,499.0,0.005474452554744526,3.0,548.0,58.0,0.0,0.0,606.0,0.011705685618729096,0.05852842809364549,0.0,0.023411371237458196,598.0,0.1086279023751645,7020800977.2300005,291.0,762654883.15,87.5,33.33333333333333,46.875,83.33333333333334,4.166666666666666,51.041666666666664,57.11805555555556,48.09027777777777
26,2,Bodoland Territorial Council-PWD,bridges,-0.00022099284604487054,-0.1,-3.8599406305277144e-05,8.0,0.0,0.0,9.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.5652456221253463,47786363.03,8.0,27011032.5,100.0,33.33333333333333,53.84615384615385,45.45454545454545,11.11111111111111,48.749028749028746,57.290857290857296,46.17974617974618
26,3,Bodoland Territorial Council-PWD,buildings,-8.668678906899945e-05,-0.00022636856024902356,-8.789406727729892e-06,44.0,0.0,0.0,50.0,7.0,0.0,0.0,57.0,0.0,0.01818181818181818,0.0,0.006060606060606061,55.0,0.3062608490031089,455610524.79999995,41.0,139535666.14,90.0,26.0,46.73913043478261,76.25,7.142857142857142,49.22639751552795,56.02199792960663,45.355331262939956
26,4,Bodoland Territorial Council-PWD,schools,-9.74330702075497e-05,-0.00026969710438152876,-5.947361546200211e-05,28.0,0.0,0.0,35.0,2.0,0.0,0.0,37.0,0.0,0.21621621621621623,0.0,0.07207207207207207,37.0,0.4227796409929471,311716756.3,26.0,131787498.32,81.81818181818183,32.35294117647059,45.714285714285715,96.96969696969697,10.714285714285714,53.51387827858417,58.231262201850434,49.9870554282319
26,5,Bodoland Territorial Council-PWD,health,-8.012825908226882e-05,-0.00013733401039000455,-7.836944484972297e-05,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.7345106351711862,47540510.74,5.0,34919010.74,60.0,28.57142857142857,46.15384615384615,38.88888888888889,30.0,40.72283272283272,43.935693935693934,38.69759869759869
26,6,Bodoland Territorial Council-PWD,water_sanitation,,-2.3560485392536865e-05,-2.3560485392536865e-05,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3993456.91,1.0,3993456.91,,,44.11764705882353,37.93103448275862,76.08695652173914,52.71187935444042,,
27,1,Bodoland Territorial Council-WRD,roads,-0.24608879892462374,-0.5500249921504552,-0.17304439879136752,3.0,,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,144036454.0,3.0,144036454.0,18.75,,46.875,35.0,83.33333333333334,45.989583333333336,,
27,2,Bodoland Territorial Council-WRD,bridges,,-0.0751407804557474,-0.025422322120500027,2.0,,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,28876195.0,2.0,28876195.0,,,53.84615384615385,45.45454545454545,66.66666666666666,55.32245532245532,,
27,4,Bodoland Territorial Council-WRD,schools,,-0.09999996388701317,-0.09999991388390125,2.0,,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,16199291.0,2.0,16199291.0,,,45.714285714285715,42.42424242424242,73.21428571428571,53.78427128427128,,
27,6,Bodoland Territorial Council-WRD,water_sanitation,-0.007248572376631481,-0.09999996038443013,-0.00037339424617282,88.0,0.028846153846153848,3.0,104.0,31.0,0.0,0.0,135.0,0.0,0.22962962962962963,0.0,0.07654320987654321,135.0,0.23603750841277865,1221074633.85,48.0,288219414.15999997,92.3076923076923,33.33333333333333,44.11764705882353,96.55172413793103,13.043478260869565,55.870775019729955,61.94359456772367,52.11453473866384
29,10,Chief Minister Secretariat,other,,,,,,1.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,39.81481481481482,,,39.81481481481482,,
31,1,Cooperation Department,roads,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,46.875,,,46.875,,
31,3,Cooperation Department,buildings,,-0.001087781978672254,-0.001087781978672254,1.0,0.0,0.0,6.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,1.0,14833330.0,1.0,14833330.0,,26.0,46.73913043478261,36.25,83.92857142857143,48.22942546583851,,
31,7,Cooperation Department,electricity_power,,,,,,0.0,2.0,0.0,0.0,0.0,2.0,,,,,,1.0,22872814.0,2.0,22872814.0,,,44.827586206896555,,72.22222222222221,58.524904214559385,,
31,8,Cooperation Department,it_computing,,,,,,0.0,3.0,0.0,0.0,0.0,3.0,,,,,,1.0,547402.0,1.0,547402.0,,,50.0,,58.82352941176471,54.411764705882355,,
31,10,Cooperation Department,other,-0.05,-0.05,-0.04,3.0,0.01694915254237288,1.0,59.0,28.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,24.0,0.5279593757679644,212681136.52999997,27.0,112287000.08,52.5,34.146341463414636,39.81481481481482,27.77777777777778,23.25581395348837,35.49894960189912,38.332458001582594,35.27351491215171
32,4,Cotton University,schools,,-0.15160752195600266,-0.13466115040707372,2.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,23105948.68,2.0,23105948.68,,32.35294117647059,45.714285714285715,42.42424242424242,73.21428571428571,48.42643875732111,,
33,10,Department of Cultural Affairs,other,,-0.0007499964252043513,-0.0002499988084014504,2.0,0.6097560975609756,25.0,41.0,19.0,0.03333333333333333,2.0,60.0,0.017857142857142856,0.0,0.0,0.005952380952380952,56.0,1.0,61660269.41,3.0,61660269.41,,100.0,85.18518518518519,55.55555555555556,80.23255813953489,80.24332472006891,,
34,10,Department of Fisheries,other,,,,,0.0,0.0,6.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,10.0,,,,,,15.853658536585366,39.81481481481482,27.77777777777778,,27.815417043059323,,
35,3,Department of Handloom Textile and Sericulture,buildings,-0.1,-0.135,-0.015000006364563598,3.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,47886039.0,3.0,47886039.0,35.0,26.0,46.73913043478261,36.25,83.92857142857143,45.58354037267081,43.819616977225664,42.319616977225664
35,10,Department of Handloom Textile and Sericulture,other,,-0.9997457627118644,-0.9997457627118644,2.0,0.0,0.0,7.0,22.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,15.0,1.0,1334700.0,3.0,1334700.0,,15.853658536585366,39.81481481481482,27.77777777777778,80.23255813953489,40.91970231717821,,
36,3,Department of Higher Education,buildings,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,46.73913043478261,,,46.73913043478261,,
36,4,Department of Higher Education,schools,,-0.20013712152109928,-0.20013712152109928,1.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,8423200.0,1.0,8423200.0,,,45.714285714285715,42.42424242424242,73.21428571428571,53.78427128427128,,
37,1,Department of Housing and Urban Affairs,roads,-0.1,-0.1,-0.05012981567347873,3.0,0.0,0.0,7.0,3.0,0.0,0.0,10.0,0.0,0.1,0.0,0.03333333333333333,10.0,1.0,92050958.0,3.0,92050958.0,40.625,16.666666666666664,46.875,86.66666666666667,83.33333333333334,54.83333333333333,52.46527777777777,48.472222222222214
37,3,Department of Housing and Urban Affairs,buildings,-0.0002265903327680891,-0.0006444444444444444,-0.00010520115705500973,7.0,0.16666666666666666,3.0,18.0,13.0,0.0,0.0,31.0,0.0,0.06451612903225806,0.0,0.02150537634408602,31.0,0.9218004103241528,613044585.0,6.0,565104750.0,80.0,96.0,46.73913043478261,87.5,60.71428571428571,74.19068322981367,75.15890269151139,77.82556935817804
