ocid,sector_name,classification_method
ocds-f5kvwu-2020_DAASC_18381_1,other,default_other
ocds-f5kvwu-2020_DAASC_18504_1,other,default_other
ocds-f5kvwu-2020_DAASC_19712_1,buildings,keyword
ocds-f5kvwu-2020_DCA_18748_1,other,default_other
ocds-f5kvwu-2020_DCA_18748_10,other,default_other
ocds-f5kvwu-2020_DCA_18748_11,other,default_other
ocds-f5kvwu-2020_DCA_18748_12,other,default_other
ocds-f5kvwu-2020_DCA_18748_13,other,default_other
ocds-f5kvwu-2020_DCA_18748_14,other,default_other
ocds-f5kvwu-2020_DCA_18748_15,other,default_other
ocds-f5kvwu-2020_DCA_18748_16,other,default_other
ocds-f5kvwu-2020_DCA_18748_17,other,default_other
ocds-f5kvwu-2020_DCA_18748_18,other,default_other
ocds-f5kvwu-2020_DCA_18748_19,other,default_other
ocds-f5kvwu-2020_DCA_18748_2,other,default_other
ocds-f5kvwu-2020_DCA_18748_20,other,default_other
ocds-f5kvwu-2020_DCA_18748_21,other,default_other
ocds-f5kvwu-2020_DCA_18748_22,other,default_other
ocds-f5kvwu-2020_DCA_18748_23,other,default_other
ocds-f5kvwu-2020_DCA_18748_24,other,default_other
ocds-f5kvwu-2020_DCA_18748_25,other,default_other
ocds-f5kvwu-2020_DCA_18748_26,other,default_other
ocds-f5kvwu-2020_DCA_18748_27,other,default_other
ocds-f5kvwu-2020_DCA_18748_28,other,default_other
ocds-f5kvwu-2020_DCA_18748_29,other,default_other
ocds-f5kvwu-2020_DCA_18748_3,other,default_other
ocds-f5kvwu-2020_DCA_18748_30,other,default_other
ocds-f5kvwu-2020_DCA_18748_31,other,default_other
ocds-f5kvwu-2020_DCA_18748_32,other,default_other
ocds-f5kvwu-2020_DCA_18748_38,other,default_other
ocds-f5kvwu-2020_DCA_18748_4,other,default_other
ocds-f5kvwu-2020_DCA_18748_40,other,default_other
ocds-f5kvwu-2020_DCA_18748_44,other,default_other
ocds-f5kvwu-2020_DCA_18748_5,other,default_other
ocds-f5kvwu-2020_DCA_18748_6,other,default_other
ocds-f5kvwu-2020_DCA_18748_61,other,default_other
ocds-f5kvwu-2020_DCA_18748_62,other,default_other
ocds-f5kvwu-2020_DCA_18748_66,other,default_other
ocds-f5kvwu-2020_DCA_18748_68,other,default_other
ocds-f5kvwu-2020_DCA_18748_69,other,default_other
ocds-f5kvwu-2020_DCA_18748_7,other,default_other
ocds-f5kvwu-2020_DCA_18748_70,other,default_other
ocds-f5kvwu-2020_DCA_18748_72,other,default_other
ocds-f5kvwu-2020_DCA_18748_74,other,default_other
ocds-f5kvwu-2020_DCA_18748_8,other,default_other
ocds-f5kvwu-2020_DCA_18748_9,other,default_other
ocds-f5kvwu-2020_DEE_18636_1,schools,buyer
ocds-f5kvwu-2020_DEE_18872_1,schools,buyer
ocds-f5kvwu-2020_DHA_18714_1,other,default_other
ocds-f5kvwu-2020_DHA_18715_1,other,default_other
ocds-f5kvwu-2020_DIPR_18416_1,other,default_other
ocds-f5kvwu-2020_DLRAR_19111_1,other,default_other
ocds-f5kvwu-2020_DLW_18606_1,other,default_other
ocds-f5kvwu-2020_DoIT_17830_1,it_computing,buyer
ocds-f5kvwu-2020_DoIT_18558_1,it_computing,buyer
ocds-f5kvwu-2020_DoIT_19238_1,it_computing,buyer
ocds-f5kvwu-2020_DoWR_16436_2,water_sanitation,keyword
ocds-f5kvwu-2020_DoWR_16818_2,water_sanitation,hybrid
ocds-f5kvwu-2020_DoWR_17401_1,roads,keyword
ocds-f5kvwu-2020_DoWR_17585_1,water_sanitation,keyword
ocds-f5kvwu-2020_DoWR_17607_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_17659_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_17725_1,water_sanitation,keyword
ocds-f5kvwu-2020_DoWR_17728_1,water_sanitation,keyword
ocds-f5kvwu-2020_DoWR_17731_1,water_sanitation,keyword
ocds-f5kvwu-2020_DoWR_17731_2,water_sanitation,keyword
ocds-f5kvwu-2020_DoWR_17734_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_17752_1,bridges,keyword
ocds-f5kvwu-2020_DoWR_17753_1,water_sanitation,keyword
ocds-f5kvwu-2020_DoWR_17754_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_17775_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_17775_2,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_17787_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_17796_1,water_sanitation,hybrid
ocds-f5kvwu-2020_DoWR_17811_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_17910_1,buildings,keyword
ocds-f5kvwu-2020_DoWR_17929_1,water_sanitation,keyword
ocds-f5kvwu-2020_DoWR_17956_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_17991_1,vehicles,keyword
ocds-f5kvwu-2020_DoWR_17993_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_17994_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_18058_1,water_sanitation,keyword
ocds-f5kvwu-2020_DoWR_18363_1,water_sanitation,keyword
ocds-f5kvwu-2020_DoWR_18363_2,water_sanitation,keyword
ocds-f5kvwu-2020_DoWR_18530_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_18531_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_18532_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_18533_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_18534_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_18534_2,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_18746_1,roads,keyword
ocds-f5kvwu-2020_DoWR_18754_1,water_sanitation,buyer
