tender_procurementMethod,median,mean,count
Open Tender,-0.04999999999999995,-0.10794530957204734,5062
Limited,0.0,63.068859608837954,58
Open Limited,-0.2559444444444444,101.83617074760608,27
Single,0.10324532765057973,0.10324532765057973,2
Global Tenders,-0.11535288095711034,-0.11535288095711034,1
