ocid,tender_title,tender_value_amount,value_amount,tender_procurementMethod,tender_fiscalYear,price_deviation
ocds-f5kvwu-2020_PWD_18490_2,Improvement of Manikpur to Bashbari Road (Ch. 0.00m to Ch. 4800.00m) under SOPD-G for the year 2020-21 Package No.SOPD(G)_WAC_64,7900000.0,7500250.48,Open Tender,2020-2021,-0.050601205063291084
ocds-f5kvwu-2020_PWD_18490_5,Construction of Nowagaon Rangapani Road (Ch. 14000.00 to 15500.00m) under SOPD-G for the year 2020-21. Package No.SOPD(G)_WAC_67.,8700000.0,8260127.0,Open Tender,2020-2021,-0.05056011494252874
ocds-f5kvwu-2020_PWD_19050_4,"SOPD_SIG_20_21_07 Improvement/Construction (i) Madhya Bamun Gaon Road (ii) Lurukihat Bordoloi Chuk (iii) Golap Dutta Path (iv) Chandoi Tekela Remaining Portion, (new construction) (v) Chengali Gaon Panibat (vi) Sewali Path (Kenduguri) under Signature",13754000.0,12378600.0,Open Tender,2020-2021,-0.1
ocds-f5kvwu-2020_PWD_19054_1,ARIASP-DTRD-116,8695000.0,8695000.0,Open Tender,2020-2021,0.0
ocds-f5kvwu-2020_PWD_19057_1,SE/KTC/01/SOPD(G)/2020-21,8701997.0,8266897.0,Open Tender,2020-2021,-0.05000001723742263
ocds-f5kvwu-2020_PWD_19057_2,SE/KTC/02/SOPD(G)/2020-21,8838990.0,8838983.0,Open Tender,2020-2021,-7.919456861021452e-07
ocds-f5kvwu-2020_PWD_19057_3,SE/KTC/03/SOPD(G)/2020-21,8967862.0,8967772.0,Open Tender,2020-2021,-1.0035836858328106e-05
ocds-f5kvwu-2020_PWD_19057_4,SE/KTC/04/SOPD(G)/2020-21,9445945.0,9445870.0,Open Tender,2020-2021,-7.939914958217521e-06
ocds-f5kvwu-2020_PWD_19057_5,SE/KTC/05/SOPD(G)/2020-21,9525958.0,9049634.0,Open Tender,2020-2021,-0.05000273988191004
ocds-f5kvwu-2020_PWD_19057_6,SE/KTC/06/SOPD(G)/2020-21,12915961.0,12270163.0,Open Tender,2020-2021,-0.049999996128820764
ocds-f5kvwu-2020_PWD_19057_7,SE/KTC/07/SOPD(G)/2020-21,14844750.0,14102513.0,Open Tender,2022-2023,-0.04999996631805857
ocds-f5kvwu-2020_PWD_19057_8,SE/KTC/08/SOPD(G)/2020-21,15998681.0,15198747.0,Open Tender,2020-2021,-0.04999999687474236
ocds-f5kvwu-2020_PWD_19057_9,SE/KTC/09/SOPD(G)/2020-21,18954683.0,18006949.0,Open Tender,2020-2021,-0.04999999208638836
ocds-f5kvwu-2020_PWD_19058_1,Package No. BPSTRD/SOPD-G/2020-21/Pak-25,9998000.0,8998200.0,Open Tender,2020-2021,-0.1
ocds-f5kvwu-2020_PWD_19059_1,Package No. BPSTRD/SOPD-G/2020-21/Pak-26,5721000.0,5148900.0,Open Tender,2020-2021,-0.1
ocds-f5kvwu-2020_PWD_19061_1,Package No. BPSTRD/SOPD-G/2020-21/Pak-28,6825000.0,6142500.0,Open Tender,2020-2021,-0.1
ocds-f5kvwu-2020_PWD_19063_1,Package No. BPSTRD/SOPD-G/2020-21/Pak-30,10980200.0,9882180.0,Open Tender,2020-2021,-0.1
ocds-f5kvwu-2020_PWD_19073_1,"SOPD_G_20_21_25 Construction of Road from starting from Kabuli Nala Bridge Dholai to Dholai Pt-III, under SOPD (G) for the year 2020-21 (from Ch.0.00 m to 4000.00 m) (L4.00KM) Under Hailakandi district Territorial Road division.",34063800.0,32361899.0,Open Tender,2020-2021,-0.04996215924236286
ocds-f5kvwu-2020_PWD_19074_2,SE/R-bari/01/SOPD-G/2020-21.,13172096.0,13162096.0,Open Tender,2020-2021,-0.0007591806193942103
ocds-f5kvwu-2020_PWD_19226_1,Construction of Road at Borfollong Tea Estate in Khumtai Territorial Road Sub-Division under Golaghat andKhumtai Territorial Road Division under SOPD(ODS) for the year 2020-21 (L-2.221 Km) in Khumtai LAC. Pkg. No. SOPD(ODS)/GKTRD/KHM/01,9999903.0,9999266.24,Open Tender,2020-2021,-6.367661766316898e-05
ocds-f5kvwu-2020_PWD_19226_2,Construction of Road at Butlikhowa Tea Estate in Khumtai Territorial Road Sub-Division under Golaghat andKhumtai Territorial Road Division under SOPD(ODS) for the year 2020-21 (L-1.641) in Khumtai LAC. Pkg. No. SOPD(ODS)/GKTRD/KHM/02,9999981.0,9999280.0,Open Tender,2020-2021,-7.010013319025307e-05
ocds-f5kvwu-2020_PWD_19226_3,Construction of Road at Khumtai and Henduriting Tea Estate in Khumtai Territorial Road Sub-Division under Golaghat andKhumtai Territorial Road Division for the year 2020-21 under SOPD(ODS) (L-1.777 Km) in Khumtai LAC. Pkg.No. SOPD(ODS)/GKTRD/KHM/03,10000000.0,9999396.6,Open Tender,2020-2021,-6.034000000003725e-05
