statistic,value
min,-1.0
P01,-0.9999311735061195
P05,-0.9099709213870033
P10,-0.3075616589369516
P25,-0.10000000646525962
P50,-0.049999997391115575
P75,-7.058233186239163e-05
P90,0.0
P95,0.04974868305951199
P99,0.22933690895216816
max,3657.0
mean,1.1381053297511856
std,63.8175231975648
exact_zero,289.0
negative,4411.0
positive,450.0
abs_gt_50pct,468.0
abs_gt_200pct,7.0
